time,accAccuracy,accX,accY,accZ,lightAccuracy,light,magAccuracy,magX,magY,magZ,proxAccuracy,prox,gyrAccuracy,gyrX,gyrY,gyrZ,batteryPercent,isCharging,isUsbCharge,isAcCharge
1398700136083,3,1.6208214,6.347082,7.286886,,,,,,,,,,,,,,,,
1398700136002,,,,,0,100.0,,,,,,,,,,,,,,
1398700135890,,,,,,,3,4.02,-24.3,-29.34,,,,,,,,,,
1398700135760,,,,,,,,,,,0,5.0,,,,,,,,
1398700135761,,,,,,,,,,,,,0,0.0,0.0,0.0,,,,
1398700136087,,,,,,,,,,,,,,,,,0.91,1,1,0
1398700136083,3,1.6208214,6.347082,7.286886,,,,,,,,,,,,,,,,
1398700136002,,,,,0,100.0,,,,,,,,,,,,,,
1398700135890,,,,,,,3,4.02,-24.3,-29.34,,,,,,,,,,
1398700135760,,,,,,,,,,,0,5.0,,,,,,,,
1398700135761,,,,,,,,,,,,,0,0.0,0.0,0.0,,,,
1398700136087,,,,,,,,,,,,,,,,,0.91,1,1,0
1398700166092,3,0.46309182,-0.3405087,9.79303,,,,,,,,,,,,,,,,
1398700166006,,,,,0,100.0,,,,,,,,,,,,,,
1398700165894,,,,,,,3,-3.3,-0.71999997,-61.98,,,,,,,,,,
1398700165814,,,,,,,,,,,0,0.0,,,,,,,,
1398700165728,,,,,,,,,,,,,0,0.0,0.0,0.0,,,,
1398700166092,3,0.46309182,-0.3405087,9.79303,,,,,,,,,,,,,0.91,1,1,0
1398700166006,,,,,0,100.0,,,,,,,,,,,,,,
1398700165894,,,,,,,3,-3.3,-0.71999997,-61.98,,,,,,,,,,
1398700165814,,,,,,,,,,,0,0.0,,,,,,,,
1398700165728,,,,,,,,,,,,,0,0.0,0.0,0.0,,,,
1398700166092,,,,,,,,,,,,,,,,,0.91,1,1,0
1398700196078,3,0.44947147,-0.29964766,9.80665,,,,,,,,,,,,,,,,
1398700195997,,,,,0,100.0,,,,,,,,,,,,,,
1398700195894,,,,,,,3,-7.02,16.38,-88.74,,,,,,,,,,
1398700195818,,,,,,,,,,,0,0.0,,,,,,,,
1398700195736,,,,,,,,,,,,,0,0.0,0.0,0.0,,,,
1398700196078,3,0.44947147,-0.29964766,9.80665,,,,,,,,,,,,,0.91,1,1,0
1398700195997,,,,,0,100.0,,,,,,,,,,,,,,
1398700195894,,,,,,,3,-7.02,16.38,-88.74,,,,,,,,,,
1398700195818,,,,,,,,,,,0,0.0,,,,,,,,
1398700195736,,,,,,,,,,,,,0,0.0,0.0,0.0,,,,
1398700196078,,,,,,,,,,,,,,,,,0.91,1,1,0
1398700225872,3,0.4903325,-0.2860273,9.779409,,,,,,,,,,,,,,,,
1398700225980,,,,,0,100.0,,,,,,,,,,,,,,
1398700225874,,,,,,,3,-7.2,16.68,-88.56,,,,,,,,,,
1398700225812,,,,,,,,,,,0,0.0,,,,,,,,
1398700225729,,,,,,,,,,,,,0,0.0,0.0,0.0,,,,
1398700225980,,,,,,,,,,,,,,,,,0.91,1,1,0
1398700255875,3,0.50395286,-0.29964766,9.820271,,,,,,,,,,,,,,,,
1398700256001,,,,,0,100.0,,,,,,,,,,,,,,
1398700255876,,,,,,,3,-7.5,16.74,-88.74,,,,,,,,,,
1398700255823,,,,,,,,,,,0,0.0,,,,,,,,
1398700255756,,,,,,,,,,,,,0,0.0,0.0,0.0,,,,
1398700256001,,,,,,,,,,,,,,,,,0.91,1,1,0
1398700285872,3,0.53119355,-0.29964766,9.738548,,,,,,,,,,,,,,,,
1398700285986,,,,,0,100.0,,,,,,,,,,,,,,
1398700285874,,,,,,,3,-7.62,16.8,-88.799995,,,,,,,,,,
1398700285805,,,,,,,,,,,0,0.0,,,,,,,,
1398700285729,,,,,,,,,,,,,0,0.0,0.0,0.0,,,,
1398700285988,,,,,,,,,,,,,,,,,0.91,1,1,0
1398700315873,3,0.50395286,-0.25878662,9.80665,,,,,,,,,,,,,,,,
1398700315976,,,,,0,100.0,,,,,,,,,,,,,,
1398700315876,,,,,,,3,-7.62,16.8,-88.799995,,,,,,,,,,
1398700315783,,,,,,,,,,,0,0.0,,,,,,,,
1398700315699,,,,,,,,,,,,,0,0.0,0.0,0.0,,,,
1398700315976,,,,,,,,,,,,,,,,,0.91,1,1,0
1398700346068,3,0.47671217,-0.313268,9.847511,,,,,,,,,,,,,,,,
1398700346186,,,,,0,100.0,,,,,,,,,,,,,,
1398700346069,,,,,,,3,-7.56,16.859999,-88.92,,,,,,,,,,
1398700345803,,,,,,,,,,,0,0.0,,,,,,,,
1398700346153,,,,,,,,,,,,,0,-0.0033597588,0.0061086523,-0.106901415,,,,
1398700346187,,,,,,,,,,,,,,,,,0.91,1,1,0
1398700375813,3,0.47671217,-0.29964766,9.80665,,,,,,,,,,,,,,,,
1398700375917,,,,,0,100.0,,,,,,,,,,,,,,
1398700375815,,,,,,,3,-7.62,16.859999,-88.979996,,,,,,,,,,
1398700375722,,,,,,,,,,,0,0.0,,,,,,,,
1398700375637,,,,,,,,,,,,,0,0.0,0.0,0.0,,,,
1398700375918,,,,,,,,,,,,,,,,,0.92,1,1,0
1398700409075,3,0.4903325,-0.2860273,9.820271,,,,,,,,,,,,,,,,
1398700409176,,,,,0,100.0,,,,,,,,,,,,,,
1398700409076,,,,,,,3,-6.7799997,16.92,-88.74,,,,,,,,,,
1398700405781,,,,,,,,,,,0,0.0,,,,,,,,
1398700409128,,,,,,,,,,,,,0,0.0033597588,0.004886922,-0.004276057,,,,
1398700409176,,,,,,,,,,,,,,,,,0.92,1,1,0
1398700435867,3,0.50395286,-0.2860273,9.779409,,,,,,,,,,,,,,,,
1398700435985,,,,,0,100.0,,,,,,,,,,,,,,
1398700435868,,,,,,,3,-6.8399997,16.98,-88.68,,,,,,,,,,
1398700435802,,,,,,,,,,,0,0.0,,,,,,,,
1398700435734,,,,,,,,,,,,,0,0.0,0.0,0.0,,,,
1398700435985,,,,,,,,,,,,,,,,,0.92,1,1,0
1398700466468,3,0.47671217,-0.2860273,9.697687,,,,,,,,,,,,,,,,
1398700466579,,,,,0,100.0,,,,,,,,,,,,,,
1398700466469,,,,,,,3,-6.72,16.8,-88.56,,,,,,,,,,
1398700465785,,,,,,,,,,,0,0.0,,,,,,,,
1398700466517,,,,,,,,,,,,,0,0.0018325958,0.002443461,9.162979E-4,,,,
1398700466580,,,,,,,,,,,,,,,,,0.92,1,1,0
1398700495868,3,0.51757324,-0.2860273,9.847511,,,,,,,,,,,,,,,,
1398700495988,,,,,0,100.0,,,,,,,,,,,,,,
1398700495869,,,,,,,3,-6.7799997,16.74,-88.619995,,,,,,,,,,
1398700495804,,,,,,,,,,,0,0.0,,,,,,,,
1398700495731,,,,,,,,,,,,,0,0.0,0.0,0.0,,,,
1398700495988,,,,,,,,,,,,,,,,,0.92,1,1,0
1398700527270,3,0.50395286,-0.2860273,9.820271,,,,,,,,,,,,,,,,
1398700527380,,,,,0,100.0,,,,,,,,,,,,,,
1398700527270,,,,,,,3,-7.2,17.279999,-88.86,,,,,,,,,,
1398700525786,,,,,,,,,,,0,0.0,,,,,,,,
1398700527327,,,,,,,,,,,,,0,0.0027488936,0.008246681,-0.0030543262,,,,
1398700527381,,,,,,,,,,,,,,,,,0.92,1,1,0
1398700555866,3,0.50395286,-0.2860273,9.765789,,,,,,,,,,,,,,,,
1398700555984,,,,,0,100.0,,,,,,,,,,,,,,
1398700555868,,,,,,,3,-7.14,17.279999,-88.74,,,,,,,,,,
1398700555800,,,,,,,,,,,0,0.0,,,,,,,,
1398700555730,,,,,,,,,,,,,0,0.0,0.0,0.0,,,,
1398700555984,,,,,,,,,,,,,,,,,0.92,1,1,0
1398700585865,3,0.53119355,-0.2860273,9.80665,,,,,,,,,,,,,,,,
1398700585984,,,,,0,100.0,,,,,,,,,,,,,,
1398700585865,,,,,,,3,-7.2599998,17.34,-88.74,,,,,,,,,,
1398700585800,,,,,,,,,,,0,0.0,,,,,,,,
1398700585716,,,,,,,,,,,,,0,0.0,0.0,0.0,,,,
1398700585984,,,,,,,,,,,,,,,,,0.92,1,1,0
1398700615863,3,0.51757324,-0.313268,9.765789,,,,,,,,,,,,,,,,
1398700615982,,,,,0,100.0,,,,,,,,,,,,,,
1398700615864,,,,,,,3,-7.2599998,17.34,-88.74,,,,,,,,,,
1398700615790,,,,,,,,,,,0,0.0,,,,,,,,
1398700615708,,,,,,,,,,,,,0,0.0,0.0,0.0,,,,
1398700615983,,,,,,,,,,,,,,,,,0.93,1,1,0
1398700645870,3,0.50395286,-0.2860273,9.80665,,,,,,,,,,,,,,,,
1398700645985,,,,,0,100.0,,,,,,,,,,,,,,
1398700645873,,,,,,,3,-7.2,17.4,-88.74,,,,,,,,,,
1398700645802,,,,,,,,,,,0,0.0,,,,,,,,
1398700645746,,,,,,,,,,,,,0,0.0,0.0,0.0,,,,
1398700645986,,,,,,,,,,,,,,,,,0.93,1,1,0
1398700675865,3,0.51757324,-0.2860273,9.765789,,,,,,,,,,,,,,,,
1398700675985,,,,,0,100.0,,,,,,,,,,,,,,
1398700675867,,,,,,,3,-7.3199997,17.4,-88.619995,,,,,,,,,,
1398700675802,,,,,,,,,,,0,0.0,,,,,,,,
1398700675746,,,,,,,,,,,,,0,0.0,0.0,0.0,,,,
1398700675985,,,,,,,,,,,,,,,,,0.93,1,1,0
1398700706066,3,0.5720546,-0.25878662,9.779409,,,,,,,,,,,,,,,,
1398700706266,,,,,0,100.0,,,,,,,,,,,,,,
1398700706066,,,,,,,3,-7.44,17.58,-88.619995,,,,,,,,,,
1398700705835,,,,,,,,,,,0,0.0,,,,,,,,
1398700706266,,,,,,,,,,,,,0,-0.0036651916,0.010079277,0.004886922,0.93,1,1,0
1398700706537,3,0.50395286,-0.23154591,9.765789,,,,,,,,,,,,,,,,
1398700706266,,,,,0,100.0,,,,,,,,,,,,,,
1398700706538,,,,,,,3,-7.02,17.58,-88.5,,,,,,,,,,
1398700705835,,,,,,,,,,,0,0.0,,,,,,,,
1398700706266,,,,,,,,,,,,,0,-0.0036651916,0.010079277,0.004886922,,,,
1398700706538,,,,,,,,,,,,,,,,,0.93,1,1,0
1398700706537,3,0.50395286,-0.23154591,9.765789,,,,,,,,,,,,,,,,
1398700706266,,,,,0,100.0,,,,,,,,,,,,,,
1398700706538,,,,,,,3,-7.02,17.58,-88.5,,,,,,,,,,
1398700705835,,,,,,,,,,,0,0.0,,,,,,,,
1398700706266,,,,,,,,,,,,,0,-0.0036651916,0.010079277,0.004886922,,,,
1398700706538,,,,,,,,,,,,,,,,,0.93,1,1,0
1398700735843,3,0.4903325,-0.38136974,9.779409,,,,,,,,,,,,,,,,
1398700736008,,,,,0,100.0,,,,,,,,,,,,,,
1398700735903,,,,,,,3,-5.7,11.46,-77.159996,,,,,,,,,,
1398700735770,,,,,,,,,,,0,5.0,0,0.0,0.0,0.0,,,,
1398700736008,,,,,,,,,,,,,,,,,0.93,1,1,0
1398700736053,3,0.44947147,-0.43585113,9.738548,,,,,,,,,,,,,,,,
1398700736008,,,,,0,100.0,,,,,,,,,,,,,,
1398700735903,,,,,,,3,-5.7,11.46,-77.159996,,,,,,,,,,
1398700735770,,,,,,,,,,,0,5.0,0,0.0,0.0,0.0,,,,
1398700736053,,,,,,,,,,,,,,,,,0.93,1,1,0
1398701895471,3,-0.08172209,-0.313268,9.874752,,,,,,,,,,,,,,,,
1398701895509,,,,,0,100.0,,,,,,,,,,,,,,
1398701895474,,,,,,,3,-5.64,8.22,-70.38,,,,,,,,,,
1398701895440,,,,,,,,,,,0,5.0,,,,,,,,
1398701895512,,,,,,,,,,,,,0,-0.004276057,0.0067195175,-6.1086525E-4,,,,
1398701895540,,,,,,,,,,,,,,,,,1.0,1,1,0
1398701895536,3,-0.08172209,-0.25878662,9.861132,,,,,,,,,,,,,,,,
1398701895509,,,,,0,100.0,,,,,,,,,,,,,,
1398701895538,,,,,,,3,-4.8599997,9.059999,-70.38,,,,,,,,,,
1398701895440,,,,,,,,,,,0,5.0,,,,,,,,
1398701895540,,,,,,,,,,,,,0,0.0067195175,0.010079277,-0.00580322,1.0,1,1,0
1398701895536,3,-0.08172209,-0.25878662,9.861132,,,,,,,,,,,,,,,,
1398701895509,,,,,0,100.0,,,,,,,,,,,,,,
1398701895538,,,,,,,3,-4.8599997,9.059999,-70.38,,,,,,,,,,
1398701895440,,,,,,,,,,,0,5.0,,,,,,,,
1398701895540,,,,,,,,,,,,,0,0.0067195175,0.010079277,-0.00580322,1.0,1,1,0
1398701895962,3,-0.095342435,-0.25878662,9.861132,,,,,,,,,,,,,,,,
1398701895509,,,,,0,100.0,,,,,,,,,,,,,,
1398701895964,,,,,,,3,-4.5,9.36,-70.799995,,,,,,,,,,
1398701895440,,,,,,,,,,,0,5.0,,,,,,,,
1398701895540,,,,,,,,,,,,,0,0.0067195175,0.010079277,-0.00580322,,,,
1398701895964,,,,,,,,,,,,,,,,,1.0,1,1,0
1398701895962,3,-0.095342435,-0.25878662,9.861132,,,,,,,,,,,,,,,,
1398701895509,,,,,0,100.0,,,,,,,,,,,,,,
1398701895964,,,,,,,3,-4.5,9.36,-70.799995,,,,,,,,,,
1398701895440,,,,,,,,,,,0,5.0,,,,,,,,
1398701895540,,,,,,,,,,,,,0,0.0067195175,0.010079277,-0.00580322,,,,
1398701895964,,,,,,,,,,,,,,,,,1.0,1,1,0
1398701895962,3,-0.095342435,-0.25878662,9.861132,,,,,,,,,,,,,,,,
1398701895509,,,,,0,100.0,,,,,,,,,,,,,,
1398701895964,,,,,,,3,-4.5,9.36,-70.799995,,,,,,,,,,
1398701895440,,,,,,,,,,,0,5.0,,,,,,,,
1398701895540,,,,,,,,,,,,,0,0.0067195175,0.010079277,-0.00580322,,,,
1398701895964,,,,,,,,,,,,,,,,,1.0,1,1,0
1398701895962,3,-0.095342435,-0.25878662,9.861132,,,,,,,,,,,,,,,,
1398701895509,,,,,0,100.0,,,,,,,,,,,,,,
1398701895964,,,,,,,3,-4.5,9.36,-70.799995,,,,,,,,,,
1398701895440,,,,,,,,,,,0,5.0,,,,,,,,
1398701895540,,,,,,,,,,,,,0,0.0067195175,0.010079277,-0.00580322,,,,
1398701895964,,,,,,,,,,,,,,,,,1.0,1,1,0
1398701895962,3,-0.095342435,-0.25878662,9.861132,,,,,,,,,,,,,,,,
1398701895509,,,,,0,100.0,,,,,,,,,,,,,,
1398701895964,,,,,,,3,-4.5,9.36,-70.799995,,,,,,,,,,
1398701895440,,,,,,,,,,,0,5.0,,,,,,,,
1398701895540,,,,,,,,,,,,,0,0.0067195175,0.010079277,-0.00580322,,,,
1398701895964,,,,,,,,,,,,,,,,,1.0,1,1,0
1398701895962,3,-0.095342435,-0.25878662,9.861132,,,,,,,,,,,,,,,,
1398701895509,,,,,0,100.0,,,,,,,,,,,,,,
1398701895964,,,,,,,3,-4.5,9.36,-70.799995,,,,,,,,,,
1398701895440,,,,,,,,,,,0,5.0,,,,,,,,
1398701895540,,,,,,,,,,,,,0,0.0067195175,0.010079277,-0.00580322,,,,
1398701895964,,,,,,,,,,,,,,,,,1.0,1,1,0
1398701895962,3,-0.095342435,-0.25878662,9.861132,,,,,,,,,,,,,,,,
1398701895509,,,,,0,100.0,,,,,,,,,,,,,,
1398701895964,,,,,,,3,-4.5,9.36,-70.799995,,,,,,,,,,
1398701895440,,,,,,,,,,,0,5.0,,,,,,,,
1398701895540,,,,,,,,,,,,,0,0.0067195175,0.010079277,-0.00580322,,,,
1398701895964,,,,,,,,,,,,,,,,,1.0,1,1,0
1398701895962,3,-0.095342435,-0.25878662,9.861132,,,,,,,,,,,,,,,,
1398701895509,,,,,0,100.0,,,,,,,,,,,,,,
1398701895964,,,,,,,3,-4.5,9.36,-70.799995,,,,,,,,,,
1398701895440,,,,,,,,,,,0,5.0,,,,,,,,
1398701895540,,,,,,,,,,,,,0,0.0067195175,0.010079277,-0.00580322,,,,
1398701895964,,,,,,,,,,,,,,,,,1.0,1,1,0
1398701895962,3,-0.095342435,-0.25878662,9.861132,,,,,,,,,,,,,,,,
1398701895509,,,,,0,100.0,,,,,,,,,,,,,,
1398701895964,,,,,,,3,-4.5,9.36,-70.799995,,,,,,,,,,
1398701895440,,,,,,,,,,,0,5.0,,,,,,,,
1398701895540,,,,,,,,,,,,,0,0.0067195175,0.010079277,-0.00580322,,,,
1398701895964,,,,,,,,,,,,,,,,,1.0,1,1,0
1398701918049,3,2.8602731,5.1893525,7.9270425,,,,,,,,,,,,,,,,
1398701918173,,,,,0,100.0,,,,,,,,,,,,,,
1398701918049,,,,,,,3,-2.58,-8.28,-45.36,,,,,,,,,,
1398701917901,,,,,,,,,,,0,5.0,0,0.0,0.0,0.0,,,,
1398701918173,,,,,,,,,,,,,,,,,1.0,1,1,0
1398701948319,3,-0.027240695,0.027240695,9.901993,,,,,,,,,,,,,,,,
1398701948249,,,,,0,100.0,,,,,,,,,,,,,,
1398701948133,,,,,,,3,-4.2599998,-6.66,-49.32,,,,,,,,,,
1398701948009,,,,,,,,,,,0,5.0,,,,,,,,
1398701948010,,,,,,,,,,,,,0,0.0,0.0,0.0,,,,
1398701948319,3,-0.027240695,0.027240695,9.901993,,,,,,,,,,,,,1.0,1,1,0
1398701948249,,,,,0,100.0,,,,,,,,,,,,,,
1398701948133,,,,,,,3,-4.2599998,-6.66,-49.32,,,,,,,,,,
1398701948009,,,,,,,,,,,0,5.0,,,,,,,,
1398701948010,,,,,,,,,,,,,0,0.0,0.0,0.0,,,,
1398701948319,,,,,,,,,,,,,,,,,1.0,1,1,0
1398701978096,3,-0.040861044,0.013620348,9.970095,,,,,,,,,,,,,,,,
1398701978249,,,,,0,100.0,,,,,,,,,,,,,,
1398701978137,,,,,,,3,-3.1799998,5.64,-69.119995,,,,,,,,,,
1398701977976,,,,,,,,,,,0,5.0,0,0.0,0.0,0.0,,,,
1398701978249,,,,,,,,,,,,,,,,,1.0,1,1,0
1398702008529,3,-0.027240695,0.027240695,9.874752,,,,,,,,,,,,,,,,
1398702008634,,,,,0,100.0,,,,,,,,,,,,,,
1398702008529,,,,,,,3,-3.54,5.52,-68.939995,,,,,,,,,,
1398702007991,,,,,,,,,,,0,5.0,,,,,,,,
1398702008594,,,,,,,,,,,,,0,0.0015271631,0.0018325958,-0.002443461,,,,
1398702008634,,,,,,,,,,,,,,,,,1.0,1,1,0
1398702038082,3,0.027240695,0.013620348,9.901993,,,,,,,,,,,,,,,,
1398702038152,,,,,0,100.0,,,,,,,,,,,,,,
1398702038085,,,,,,,3,-3.4199998,5.7,-68.939995,,,,,,,,,,
1398702037863,,,,,,,,,,,0,5.0,0,0.0,0.0,0.0,,,,
1398702038153,,,,,,,,,,,,,,,,,1.0,1,1,0
1398702068118,3,-0.027240695,0.05448139,9.901993,,,,,,,,,,,,,,,,
1398702068233,,,,,0,100.0,,,,,,,,,,,,,,
1398702068121,,,,,,,3,-3.36,5.7,-68.82,,,,,,,,,,
1398702067964,,,,,,,,,,,0,5.0,0,0.0,0.0,0.0,,,,
1398702068234,,,,,,,,,,,,,,,,,1.0,1,1,0
1398702098523,3,-0.027240695,0.06810174,9.861132,,,,,,,,,,,,,,,,
1398702098635,,,,,0,100.0,,,,,,,,,,,,,,
1398702098524,,,,,,,3,-3.36,5.3399997,-68.58,,,,,,,,,,
1398702097960,,,,,,,,,,,0,5.0,,,,,,,,
1398702098575,,,,,,,,,,,,,0,-0.0033597588,0.004886922,-0.0012217305,,,,
1398702098635,,,,,,,,,,,,,,,,,1.0,1,1,0
1398702128123,3,0.013620348,0.027240695,9.861132,,,,,,,,,,,,,,,,
1398702128233,,,,,0,100.0,,,,,,,,,,,,,,
1398702128124,,,,,,,3,-3.36,5.2799997,-68.34,,,,,,,,,,
1398702127962,,,,,,,,,,,0,5.0,,,,,,,,
1398702127963,,,,,,,,,,,,,0,0.0,0.0,0.0,,,,
1398702128233,,,,,,,,,,,,,,,,,1.0,1,1,0
1398702158517,3,0.013620348,0.027240695,9.861132,,,,,,,,,,,,,,,,
1398702158628,,,,,0,100.0,,,,,,,,,,,,,,
1398702158517,,,,,,,3,-3.12,5.3399997,-68.159996,,,,,,,,,,
1398702157999,,,,,,,,,,,0,5.0,,,,,,,,
1398702158592,,,,,,,,,,,,,0,-0.005192355,0.005497787,3.0543262E-4,,,,
1398702158629,,,,,,,,,,,,,,,,,1.0,1,1,0
1398702188118,3,0.013620348,0.06810174,9.901993,,,,,,,,,,,,,,,,
1398702188228,,,,,0,100.0,,,,,,,,,,,,,,
1398702188120,,,,,,,3,-3.12,5.2799997,-68.1,,,,,,,,,,
1398702187988,,,,,,,,,,,0,5.0,,,,,,,,
1398702187989,,,,,,,,,,,,,0,0.0,0.0,0.0,,,,
1398702188229,,,,,,,,,,,,,,,,,1.0,1,1,0
1398702218316,3,-0.027240695,0.05448139,9.874752,,,,,,,,,,,,,,,,
1398702218426,,,,,0,100.0,,,,,,,,,,,,,,
1398702218317,,,,,,,3,-3.1799998,5.22,-68.04,,,,,,,,,,
1398702217985,,,,,,,,,,,0,5.0,,,,,,,,
1398702218368,,,,,,,,,,,,,0,-0.005192355,0.0030543262,0.0015271631,,,,
1398702218427,,,,,,,,,,,,,,,,,1.0,1,1,0
1398702248317,3,-0.027240695,0.027240695,9.833891,,,,,,,,,,,,,,,,
1398702248431,,,,,0,100.0,,,,,,,,,,,,,,
1398702248318,,,,,,,3,-3.24,5.2799997,-68.04,,,,,,,,,,
1398702247990,,,,,,,,,,,0,5.0,,,,,,,,
1398702248378,,,,,,,,,,,,,0,-0.00580322,0.0012217305,0.0018325958,,,,
1398702248432,,,,,,,,,,,,,,,,,1.0,1,1,0
1398702278518,3,-0.013620348,0.040861044,9.80665,,,,,,,,,,,,,,,,
1398702278629,,,,,0,100.0,,,,,,,,,,,,,,
1398702278519,,,,,,,3,-3.4199998,4.98,-67.979996,,,,,,,,,,
1398702277963,,,,,,,,,,,0,5.0,,,,,,,,
1398702278567,,,,,,,,,,,,,0,0.004886922,0.010995574,-0.005497787,,,,
1398702278631,,,,,,,,,,,,,,,,,1.0,1,1,0
1398702308119,3,0.040861044,0.027240695,9.888372,,,,,,,,,,,,,,,,
1398702308230,,,,,0,100.0,,,,,,,,,,,,,,
1398702308120,,,,,,,3,-3.24,5.1,-67.979996,,,,,,,,,,
1398702307969,,,,,,,,,,,0,5.0,0,0.0,0.0,0.0,,,,
1398702308231,,,,,,,,,,,,,,,,,1.0,1,1,0
1398702338321,3,0.027240695,0.040861044,9.888372,,,,,,,,,,,,,,,,
1398702338433,,,,,0,100.0,,,,,,,,,,,,,,
1398702338321,,,,,,,3,-3.24,5.4,-68.04,,,,,,,,,,
1398702338092,,,,,,,,,,,0,5.0,,,,,,,,
1398702338377,,,,,,,,,,,,,0,-0.005192355,0.0061086523,0.0018325958,,,,
1398702338434,,,,,,,,,,,,,,,,,1.0,1,1,0
1398702368921,3,0.013620348,0.013620348,9.861132,,,,,,,,,,,,,,,,
1398702369034,,,,,0,100.0,,,,,,,,,,,,,,
1398702368922,,,,,,,3,-3.4199998,5.2799997,-68.04,,,,,,,,,,
1398702367974,,,,,,,,,,,0,5.0,,,,,,,,
1398702368996,,,,,,,,,,,,,0,0.0021380284,0.005192355,-0.004581489,,,,
1398702369034,,,,,,,,,,,,,,,,,1.0,1,1,0
1398702398117,3,-0.013620348,0.05448139,9.833891,,,,,,,,,,,,,,,,
1398702398233,,,,,0,100.0,,,,,,,,,,,,,,
1398702398118,,,,,,,3,-3.3,5.3399997,-68.04,,,,,,,,,,
1398702397977,,,,,,,,,,,0,5.0,,,,,,,,
1398702397978,,,,,,,,,,,,,0,0.0,0.0,0.0,,,,
1398702398234,,,,,,,,,,,,,,,,,1.0,1,1,0
1398702428971,3,-0.027240695,0.06810174,9.861132,,,,,,,,,,,,,,,,
1398702429073,,,,,0,100.0,,,,,,,,,,,,,,
1398702428971,,,,,,,3,-3.06,5.52,-67.979996,,,,,,,,,,
1398702428038,,,,,,,,,,,0,5.0,,,,,,,,
1398702429031,,,,,,,,,,,,,0,0.002443461,0.0030543262,-0.0036651916,,,,
1398702429073,,,,,,,,,,,,,,,,,1.0,1,1,0
1398702458114,3,0.027240695,0.05448139,9.833891,,,,,,,,,,,,,,,,
1398702458230,,,,,0,100.0,,,,,,,,,,,,,,
