SensorService Log file

OS Version: 3.0.31-889555(I9100XWLSD)
API LEVEL: 16
Device: GT-I9100
Model: GT-I9100 (GT-I9100)

1 - ACCELEROMETER
Name: K3DH Acceleration Sensor
Maximum Range: 19.6133
Min Delay: 5000
Power: 0.25
Resolution: 0.0047884034
Type: 1
Vendor: STMicroelectronics
Version: 1

2 - MAGNETIC_FIELD
Name: AK8975 Magnetic field Sensor
Maximum Range: 2000.0
Min Delay: 5000
Power: 6.0
Resolution: 0.06
Type: 2
Vendor: Asahi Kasei Microdevices
Version: 1

5 - LIGHT
Name: CM3663 Light Sensor
Maximum Range: 3000.0
Min Delay: 0
Power: 0.75
Resolution: 1.0
Type: 5
Vendor: Capella Microsystems, Inc.
Version: 1

8 - PROXIMITY
Name: CM3663 Proximity Sensor
Maximum Range: 5.0
Min Delay: 0
Power: 0.75
Resolution: 5.0
Type: 8
Vendor: Capella Microsystems, Inc.
Version: 1

4 - GYROSCOPE
Name: K3G Gyroscope Sensor
Maximum Range: 8.726646
Min Delay: 5000
Power: 6.1
Resolution: 3.0543262E-4
Type: 4
Vendor: STMicroelectronics
Version: 1

4 - GYROSCOPE
Name: Corrected Gyroscope Sensor
Maximum Range: 8.726646
Min Delay: 5000
Power: 12.35
Resolution: 3.0543262E-4
Type: 4
Vendor: Google Inc.
Version: 1

Timestamp;Type;Value
1398433470574;accAccuracy;3
1398433470574;accX;-0.06810174
1398433470574;accY;0.05448139
1398433470574;accZ;9.833891
1398433470607;lightAccuracy;0
1398433470607;light;1000.0
1398433470575;magAccuracy;3
1398433470575;magX;0.48
1398433470575;magY;7.44
1398433470575;magZ;-34.68
1398433470340;proxAccuracy;0
1398433470340;prox;5.0
1398433470341;gyrAccuracy;0
1398433470341;gyrX;0.0
1398433470341;gyrY;0.0
1398433470341;gyrZ;0.0
1398433470607;batteryPercent;0.84
1398433470607;isCharging;1
1398433470607;isUsbCharge;1
1398433470607;isAcCharge;0
1398433500431;accAccuracy;3
1398433500431;accX;-0.095342435
1398433500431;accY;0.027240695
1398433500431;accZ;9.874752
1398433500554;lightAccuracy;0
1398433500554;light;1000.0
1398433500434;magAccuracy;3
1398433500434;magX;1.38
1398433500434;magY;7.44
1398433500434;magZ;-39.899998
1398433500272;proxAccuracy;0
1398433500272;prox;5.0
1398433500272;gyrAccuracy;0
1398433500272;gyrX;0.0
1398433500272;gyrY;0.0
1398433500272;gyrZ;0.0
1398433500555;batteryPercent;0.84
1398433500555;isCharging;1
1398433500555;isUsbCharge;1
1398433500555;isAcCharge;0
1398433531085;accAccuracy;3
1398433531085;accX;-0.08172209
1398433531085;accY;0.040861044
1398433531085;accZ;9.915613
1398433531186;lightAccuracy;0
1398433531186;light;1000.0
1398433531085;magAccuracy;3
1398433531085;magX;2.22
1398433531085;magY;7.62
1398433531085;magZ;-44.879997
1398433530335;proxAccuracy;0
1398433530335;prox;5.0
1398433531106;gyrAccuracy;0
1398433531106;gyrX;-0.004581489
1398433531106;gyrY;0.006414085
1398433531106;gyrZ;-0.0033597588
1398433531186;batteryPercent;0.85
1398433531186;isCharging;1
1398433531186;isUsbCharge;1
1398433531186;isAcCharge;0
1398433560461;accAccuracy;3
1398433560461;accX;-3.0645783
1398433560461;accY;9.220976
1398433560461;accZ;1.7706453
1398433560578;lightAccuracy;0
1398433560578;light;1000.0
1398433560464;magAccuracy;3
1398433560464;magX;3.06
1398433560464;magY;6.12
1398433560464;magZ;-43.02
1398433560276;proxAccuracy;0
1398433560276;prox;5.0
1398433560276;gyrAccuracy;0
1398433560276;gyrX;0.0
1398433560276;gyrY;0.0
1398433560276;gyrZ;0.0
1398433560581;batteryPercent;0.85
1398433560581;isCharging;1
1398433560581;isUsbCharge;1
1398433560581;isAcCharge;0
1398433590511;accAccuracy;3
1398433590511;accX;-0.13620348
1398433590511;accY;0.040861044
1398433590511;accZ;9.888372
1398433590626;lightAccuracy;0
1398433590626;light;1000.0
1398433590529;magAccuracy;3
1398433590529;magX;3.4199998
1398433590529;magY;5.52
1398433590529;magZ;-42.3
1398433590376;proxAccuracy;0
1398433590376;prox;5.0
1398433590377;gyrAccuracy;0
1398433590377;gyrX;0.0
1398433590377;gyrY;0.0
1398433590377;gyrZ;0.0
1398433590626;batteryPercent;0.85
1398433590626;isCharging;1
1398433590626;isUsbCharge;1
1398433590626;isAcCharge;0
1398433620458;accAccuracy;3
1398433620458;accX;-0.14982383
1398433620458;accY;0.05448139
1398433620458;accZ;9.942854
1398433620553;lightAccuracy;0
1398433620553;light;1000.0
1398433620461;magAccuracy;3
1398433620461;magX;3.54
1398433620461;magY;5.16
1398433620461;magZ;-41.579998
1398433620270;proxAccuracy;0
1398433620270;prox;5.0
1398433620271;gyrAccuracy;0
1398433620271;gyrX;0.0
1398433620271;gyrY;0.0
1398433620271;gyrZ;0.0
1398433620554;batteryPercent;0.85
1398433620554;isCharging;1
1398433620554;isUsbCharge;1
1398433620554;isAcCharge;0
1398433650507;accAccuracy;3
1398433650507;accX;-0.14982383
1398433650507;accY;0.027240695
1398433650507;accZ;9.970095
1398433650630;lightAccuracy;0
1398433650630;light;1000.0
1398433650508;magAccuracy;3
1398433650508;magX;3.6599998
1398433650508;magY;4.68
1398433650508;magZ;-40.92
1398433650353;proxAccuracy;0
1398433650353;prox;5.0
1398433650353;gyrAccuracy;0
1398433650353;gyrX;0.0
1398433650353;gyrY;0.0
1398433650353;gyrZ;0.0
1398433650630;batteryPercent;0.85
1398433650630;isCharging;1
1398433650630;isUsbCharge;1
1398433650630;isAcCharge;0
1398433680460;accAccuracy;3
1398433680460;accX;-0.12258313
1398433680460;accY;0.06810174
1398433680460;accZ;9.901993
1398433680559;lightAccuracy;0
1398433680559;light;1000.0
1398433680461;magAccuracy;3
1398433680461;magX;4.38
1398433680461;magY;4.14
1398433680461;magZ;-40.2
1398433680283;proxAccuracy;0
1398433680283;prox;5.0
1398433680284;gyrAccuracy;0
1398433680284;gyrX;0.0
1398433680284;gyrY;0.0
1398433680284;gyrZ;0.0
1398433680560;batteryPercent;0.85
1398433680560;isCharging;1
1398433680560;isUsbCharge;1
1398433680560;isAcCharge;0
1398433710577;accAccuracy;3
1398433710577;accX;-0.12258313
1398433710577;accY;0.027240695
1398433710577;accZ;9.861132
1398433710696;lightAccuracy;0
1398433710696;light;1000.0
1398433710577;magAccuracy;3
1398433710577;magX;5.1
1398433710577;magY;3.54
1398433710577;magZ;-39.42
1398433710415;proxAccuracy;0
1398433710415;prox;5.0
1398433710415;gyrAccuracy;0
1398433710415;gyrX;0.0
1398433710415;gyrY;0.0
1398433710415;gyrZ;0.0
1398433710696;batteryPercent;0.85
1398433710696;isCharging;1
1398433710696;isUsbCharge;1
1398433710696;isAcCharge;0
